code,abstract
2016_article_the_temperature_effect_in_secondary_cosmic_rays_muons_observ,"The analysis of cosmic ray intensity variation seen by muon detectors at Earthʼs surface can help us to understand astrophysical, solar, interplanetary and geomagnetic phenomena. However, before comparing cosmic ray intensity variations with extraterrestrial phenomena, it is necessary to take into account atmospheric effects such as the temperature effect. In this work, we analyzed this effect on the Global Muon Detector Network (GMDN), which is composed of four ground-based detectors, two in the northern hemisphere and two in the southern hemisphere. In general, we found a higher temperature inﬂuence on detectors located in the northern hemisphere. Besides that, we noticed that the seasonal temperature variation observed at the ground and at the altitude of maximum muon production are in antiphase for all GMDN locations (low-latitude regions). In this way, contrary to what is expected in high-latitude regions, the ground muon intensity decrease occurring during summertime would be related to both parts of the temperature effect (the negative and the positive). We analyzed several methods to describe the temperature effect on cosmic ray intensity. We found that the mass weighted method is the one that best reproduces the seasonal cosmic ray variation observed by the GMDN detectors and allows the highest correlation with long-term variation of the cosmic ray intensity seen by neutron monitors. Key words: atmospheric effects – cosmic rays – solar–terrestrial relations – Sun: general"
2016_book_gravitation,Summary unavailable from PDF text. Topic: Gravitation.
2017_article_analysis_of_ground_level_enhancements_gle_extreme_solar_ener,"Nearly 70 Ground Level Enhancements (GLEs) of cosmic rays have been recorded by the worldwide neutron monitor network since the 1950s depicting a big variety of energy spectra of solar energetic particles (SEP). Here we studied a statistical relation between the event-integrated intensity of GLEs (calculated as count-rate relative excess, averaged over all available polar neutron monitors, and expressed in percent-hours) and the hardness of the solar particle energy spectra. For each event the integral omnidirectional event- integrated ﬂuences of particles with energy above 30 MeV (F 30 ) and above 200 MeV (F 200 ) were computed using the reconstructed spec- tra, and the ratio between the two ﬂuences was considered as a simple index of the event’s hardness. We also provided a justiﬁcation of the spectrum estimate in the form of the Band-function, using direct PAMELA data for GLE 71 (17-May-2012). We found that, while there is no clear relation between the intensity and the hardness for weak events, all strong events with the intensity greater 100 %*h are characterized by a very hard spectrum. This implies that a hard spectrum can be securely assumed for all extreme GLE events, e.g., those studied using cosmogenic isotope data in the past. Ó 2016 COSPAR. Published by Elsevier Ltd. All rights reserved."
2017_article_griffiths_quantum,Summary unavailable from PDF text. Topic: Griffiths quantum.
2017_article_iso_19005_electronic_document_file_format_for_long_term_pres,"Nuclear Inst. and Methods in Physics Research, A 878 (2018) 169–179"
2017_article_kittel_introducci_n_a_la_f_sica_del_estado_s_li,Summary unavailable from PDF text. Topic: Kittel introducci n a la f sica del estado s li.
2017_article_xxv_european_cosmic_ray_symposium_turin_sept_4_9_2016_1,"TRAGALDABAS. First results on cosmic ray studies and their relation with the solar activity, the Earth’s magnetic field and the atmospheric properties"
2017_book_157732_print_indd,Summary unavailable from PDF text. Topic: 157732 print indd.
2017_book_curso_de_astronomia_abad_correcto,Summary unavailable from PDF text. Topic: Curso de astronomia abad correcto.
2017_slides_in_vivo_and_in_beam_monitoring_of_pet,In-vivo and in-beam monitoring of PET activation in proton therapy: tests in a chicken 18 embryo model with O-enriched water
2018_article_fnexp_master_guiondigital,Universidad Complutense de Madrid jose@nuc2.fis.ucm.es Grupo de Física Nuclear
2018_article_iso_19005_electronic_document_file_format_for_long_term_pres,"Nuclear Inst. and Methods in Physics Research, A 916 (2019) 1–7"
2018_article_maza_2008_f_sica_del_estado_s_lido,Summary unavailable from PDF text. Topic: Maza 2008 f sica del estado s lido.
2018_article_the_cosmicwatch_desktop_muon_detector_a_self_contained_pocke,"The CosmicWatch Desktop Muon Detector is a self-contained, hand-held cosmic ray muon detector that is valuable for astro/particle physics research applications and outreach. The material cost of each detector is under 100$ and it takes a novice student approximately four hours to build their first detector. The detectors are powered via a USB connection and the data can either be recorded directly to a computer or to a microSD card. Arduino- and Python-based software is provided to operate the detector and an online application to plot the data in real-time. In this paper, we describe the various design features, evaluate the performance, and illustrate the detectors capabilities by providing several example measurements."
2018_article_the_influence_of_several_atmospheric_variables_on_cosmic_ray,"In this study, the eﬀects of atmospheric pressure and temperature on cosmic ray muons have been investigated using data recorded by the KACST detector (Riyadh, Saudi Arabia; Rc = 14.4 GV) for the beginning of the quiet periods of the 24th solar cycle. The muon data were, initially, correlated with the atmospheric pressure, and the desired coeﬃcient was obtained and used to eliminate the pressure eﬀect from the muon measurements. The pressure-corrected data are then analysed to study the eﬀect of the atmospheric temperature on cos- mic ray muons, using ﬁve methods. Four methods investigate the eﬀect of the ground temperature, the atmospheric temperatures and atmospheric heights at several atmospheric levels, on the measured muon rate. In the ﬁfth method, the muon data were correlated with the atmospheric weighted temperatures integrated up to diﬀerent atmospheric heights. For all cases, the desired correction coeﬃcients were obtained, and their variations at several atmospheric levels were studied. The obtained coeﬃcients were then used to correct the cosmic ray data. We found that the atmospheric pressure eﬀect shows the greatest diﬀerences between the corrected and uncorrected rate (up to 1%). Instead, corrections made to the muon data using the remainder of the considered parameters modify the muon rate by a small amount (less than 0.5%) compared to the uncorrected rate. Ó 2018 COSPAR. Published by Elsevier Ltd. All rights reserved."
2018_article_the_sevan_worldwide_network_of_particle_detectors_10_years_o,"The Space Environment Viewing and Analysis Network (SEVAN) aims to improve the fundamental research on particle acceleration in the vicinity of the sun, on space weather eﬀects and on high-energy physics in the atmosphere and lightning initiation. This new type of a particle detector setup simultaneously measures ﬂuxes of most species of secondary cosmic rays, thus being a powerful integrated device for exploration of solar modulation eﬀects and electron acceleration in the thunderstorm atmosphere. The SEVAN modules are oper- ating at the Aragats Space Environmental Center (ASEC) in Armenia, in Croatia, Bulgaria, Slovakia, the Czech Republic (from 2017) and in India. In this paper, we present the most interesting results of the SEVAN network operation during the last decade. We present this review on the occasion of the 10th anniversary of the International Heliophysical Year in 2007. Ó 2018 COSPAR. Published by Elsevier Ltd. All rights reserved."
2018_book_resistive_gaseous_detectors,"Marcello Abbrescia, Vladimir Peskov, and Paulo Fonte Authors All books published by Wiley-VCH are carefully produced. Nevertheless, authors, Prof. Marcello Abbrescia editors, and publisher do not warrant the Department of Physics information contained in these books, University of Bari including this book, to be free of errors. and Sezione INFN Readers are advised to keep in mind that 70126 Bari statements, data, illustrations, procedural Italy details or other items may inadvertently be inaccurate. Prof. Paulo Fonte Polytechnic Institute of Coimbra Library of Congress Card No.: applied for Coimbra Institute of Engineering Rua Pedro Nunes British Library Cataloguing-in-Publication 3030-199 Coimbra Data Portugal A catalogue record for this book is avail- able from the British Library. and Laboratory of Instrumentation and Bibliographic information published by Experimental Particle Physics (LIP) the Deutsche Nationalbibliothek Physics Department The Deutsche Nationalbibliothek University of Coimbra lists this publication in the Deutsche 3004-516 Coimbra Nationalbibliograﬁe; detailed Portugal bibliographic data are available on the Internet at <http://dnb.d-nb.de>. Prof. Vladimir Peskov CERN PH-UAI © 2018 Wiley-VCH Verlag GmbH & Co. 581/R-015 KGaA, Boschstr. 12, 69469 Weinheim, 1211 Geneva 23 Germany Switzerland All rights reserved (including those of Cover Images: (Background image) © translation into other languages). No part teekid/Gettyimages; of this book may be reproduced in any (Illustration) © Wiley form – by photoprinting, microﬁlm, or any other means – nor transmitted or translated into a machine language without written permission from the publishers. Registered names, trademarks, etc. used in this book, even when not speciﬁcally marked as such, are not to be considered unprotected by law."
2018_slides_la_f_sica_nuclear_y_de,LA FÍSICA NUCLEAR Y DE PARTÍCULAS Y SUS APLICACIONES EN MEDICINA
2018_thesis_tesis_de_doctorado,SIMULATION AND RECONSTRUCTION ALGORITHMS FOR A COMMERCIAL MUON TOMOGRAPHY SYSTEM
2019_article_1_29_cosmic_rays,"Revised October 2019 by J.J. Beatty (Ohio State U.), J. Matthews (Louisiana State U.) and S.P. Wakely (Chicago U.; Chicago U., Kavli Inst.). Cosmic rays are a population of energetic elementary particles and nuclei with a steeply falling near-power law spectrum extending from a few MeV to tens of Joules per particle. Primary cosmic rays can be measured directly by experiments in space or on balloons at energies where there is sufficient flux (§29.1). Atmospheric interactions of primary cosmic rays produce fluxes of secondary elementary particles which can be detected in the atmosphere (§29.2), at the Earth’s surface (§29.3), and underground (§29.4). At high energies, air showers of particles generated by a single primary can be detected (§29.5). These showers can be reconstructed to determine the energy, direction, and composition of the incident particle. Energetic neutrinos are closely linked to high energy cosmic rays, both through their production at astrophysical sites of particle acceleration and by production during propagation of extremely high energy cosmic rays (§29.6). 29.1 Primary Spectra from Direct Measurements The cosmic radiation incident at the top of the terrestrial atmosphere includes all stable charged particles and nuclei with lifetimes of order 106 years or longer. When discussing the astrophysical origin of cosmic rays, “primary” cosmic rays are those particles accelerated at astrophysical sources and “secondaries” are those particles produced in interaction of the primaries with interstellar gas1 . Thus electrons, protons and helium, as well as carbon, oxygen, iron, and other nuclei synthesized in stars, are primaries. Nuclei such as lithium, beryllium, and boron (which are not abundant end- products of stellar nucleosynthesis) are secondaries. Antiprotons and positrons are also in large part secondary. Whether a small fraction of these particles may be primary is a question of current interest. Apart from particles associated with solar flares2 , the cosmic radiation comes from outside the solar system. The incoming charged particles are “modulated” by the solar wind, the expanding magnetized plasma generated by the Sun, which decelerates and partially excludes the lower energy galactic cosmic rays from the inner solar system. There is a significant anticorrelation between solar activity (which has an alternating eleven-year cycle) and the intensity of the cosmic rays with rigidities below about 10 GV. In addition, the lower-energy cosmic rays are affected by the geomagnetic field, which they must penetrate to reach the top of the atmosphere. Thus the intensity of any component of the cosmic radiation in the GeV range depends both on the location and time. There are four different ways to describe the spectra of the components of the cosmic radiation: (1) By particles per unit rigidity. Propagation (and probably also acceleration) through cosmic magnetic fields depends on gyroradius or magnetic rigidity, R, which is gyroradius multiplied by the magnetic field strength:"
2019_article_analysis_of_cosmic_rays_atmospheric_effects_and_their_relati,"RESEARCH ARTICLE Analysis of Cosmic Rays' Atmospheric Effects and Their 10.1029/2019JA026651 Relationships to Cutoff Rigidity and Zenith Angle Key Points: • Pressure and temperature effects Using Global Muon Detector Network Data observed by ground muon detectors was experimentally analyzed R. R. S. Mendonça1,2 , C. Wang1 , C. R. Braga2 , E. Echer2 , A. Dal Lago2 , inrelation to cutoff rigidity and J. E. R. Costa2 , K. Munakata3 , H. Li1, Z. Liu1, J.‐P. Raulin4 , T. Kuwabara5 , M. Kozai6 , zenith angle C. Kato3 , M. Rockenbach2 , N. J. Schuch2 , H. K. Al Jassar7 , M. M. Sharma7 , • The best correlation was found when considering product between M. Tokumaru8 , M. L. Duldig9 , J. E. Humble9 , P. Evenson10 , and I. Sabbah11 cutoff rigidity and zenith angle 1 secant (pressure) or cosine State Key Laboratory of Space Weather, National Space Science Center, Chinese Academy of Sciences, Beijing, China, 2 (temperature) National Institute for Space Research, São José dos Campos, Brazil, 3Physics Department, Shinshu University, • The temperature effect only shows a Matsumoto, Japan, 4Center of Radio Astronomy and Astrophysics Mackenzie, Engineering School, Mackenzie global trend if a relationship with Presbyterian University, São Paulo, Brazil, 5Graduate School of Science, Chiba University, Chiba City, Japan, 6Institute of the sine of each detector's Space and Astronautical Science, Japan Aerospace Exploration Agency, Sagamihara, Japan, 7Physics Department, Kuwait geographic latitude is included University, Kuwait City, Kuwait, 8Institute for Space‐Earth Environmental Research, Nagoya University, Nagoya, Japan, 9 Supporting Information: School of Natural Sciences, University of Tasmania, Hobart, Tasmania, Australia, 10Bartol Research Institute, • Supporting Information S1 Department of Physics and Astronomy, University of Delaware, Newark, DE, USA, 11Department of Applied Sciences, College of Technological Studies, Public Authority for Applied Education and Training, Shuwaikh, Kuwait"
2019_article_atmospheric_muons_measured_with_icecube,". IceCube is a cubic-kilometer Cherenkov detector in the deep ice at the geographic South Pole. The dominant event yield is produced by penetrating atmospheric muons with energies above several 100 GeV. Due to its large detector volume, IceCube provides unique opportunities to study atmospheric muons with large statistics in detail. Measurements of the energy spectrum and the lateral separation distribution of muons offer insights into hadronic interactions during the air shower development and can be used to test hadronic models. We will present an overview of various measurements of atmospheric muons in IceCube, including the energy spectrum of muons between 10 TeV and 1 PeV. This is used to derive an estimate of the prompt contribution of muons, originating from the decay of heavy (mainly charmed) hadrons and unflavored mesons. We will also present measurements of the lateral separation distributions of TeV muons between 150 m and 450 m for several initial cosmic ray energies between 1 PeV and 16 PeV. Finally, the angular distribution of atmospheric muons in IceCube will be discussed."
2019_article_atmospheric_variations_as_observed_by_icecube,". We have measured the correlation of rates As the Antarctic atmosphere goes through seasonal in IceCube with long and short term variations in changes, the characteristics of the cosmic ray interac- the South Pole atmosphere. The yearly temperature tions in the atmosphere follow these variations. When variation in the middle stratosphere (30-60 hPa) is the primary cosmic ray interacts with atmospheric nu- highly correlated with the high energy muon rate clei, the pions and kaons produced at the early interac- observed deep in the ice, and causes a ±10% seasonal tions mainly determine the nature of the air shower. For modulation in the event rate. The counting rates of the cosmic ray energies discussed here, these interactions the surface detectors, which are due to secondary happen in the ozone layer (20-120 hPa pressure layer particles of relatively low energy (muons, electrons at 26 down to 14 km) of the South Pole stratosphere. and photons), have a negative correlation with tem- During the austral winter, when the stratosphere is cold peratures in the lower layers of the stratosphere and dense, the charged mesons are more likely to interact (40-80 hPa), and are modulated at a level of ±5%. and produce secondary low energy particles. During the The region of the atmosphere between pressure levels austral summer when the warm atmosphere expands and 20-120 hPa, where the first cosmic ray interactions becomes less dense, the mesons more often decay rather occur and the produced pions/kaons interact or decay than interact. to muons, is the Antarctic ozone layer. The anti- Figure 1 demonstrates the modulation of rates in correlation between surface and deep ice trigger relation to the temporal changes of the South Pole strato- rates reflects the properties of pion/kaon decay and sphere. The scaler rate of a single IceTop DOM on the interaction as the density of the stratospheric ozone surface is mostly due to low energy secondary particles layer changes. Therefore, IceCube closely probes the (MeV electrons and gammas, ∼1 GeV muons)[2] pro- ozone hole dynamics, and the temporal behavior of duced throughout the atmosphere, and therefore highly the stratospheric temperatures. modulated by the atmospheric pressure. However, after Keywords: IceCube, IceTop, South Pole correcting for the barometric effect, the IceTop DOM counting rate also reflects the initial pion interactions in I. I NTRODUCTION the middle stratosphere. The high energy muon rate in The IceCube Neutrino Observatory, located at the the deep ice, on the other hand, directly traces the decay geographical South Pole (altitude 2835m), has been characteristics of high energy pions in higher layers growing incrementally in size since 2005, surrounding of the stratosphere. The IceCube muon rate reaches its its predecessor AMANDA[1]. As of March 2009, Ice- maximum at the end of January when the stratosphere Cube consists of 59 strings in the Antarctic ice, and is warmest and most tenuous. Around the same time 59 stations of the IceTop cosmic ray air shower array Icetop DOMs measure the lowest rates on the surface on the surface. Each IceCube string consists of 60 as the pion interaction probability reaches its minimum. Digital Optical Modules (DOMs) deployed at depths of The high energy muon rate starts to decline as the 1450-2450m, and each IceTop station comprises 2 ice stratosphere gets colder and denser. The pions will Cherenkov tanks with 2 DOMs in each tank. interact more often than decay, yielding the maximum IceCube records the rate of atmospheric muons with rate in IceTop and the minimum muon rate in deep ice Eµ ≥ 400 GeV. Muon events pass the IceCube Simple at the end of July."
2019_article_recent_results_of_cosmic_ray_measurements_from,Recent Results of Cosmic Ray Measurements from IceCube and IceTop arXiv:1909.04423v1 [astro-ph.HE] 10 Sep 2019
2019_article_seasonal_variation_of_atmospheric_muons_in,Seasonal variation of atmospheric muons in IceCube arXiv:1909.01406v1 [astro-ph.HE] 3 Sep 2019
2019_book_classical_dynamics_a_contemporary_approa,Summary unavailable from PDF text. Topic: Classical dynamics a contemporary approa.
2019_thesis_tesis_de_doctorado,STUDIES ON THE COMPOSITION AND ENERGY OF SECONDARY COSMIC RAYS WITH THE TRAGALDABAS DETECTOR
2020_article_1_curvas_no_espazo_eucl_deo_3_dimensional,"1. Curvas no espazo euclídeo 3-dimensional De nición 1 (Curva parametrizada diferenciable). Una curva parametrizada diferenciable es una aplicación diferenciable α : I −→ R3 en I un intervalo abierto (a, b). Diremos que α(t) es regular si el vector tangente es no nulo en todo punto del intervalo I . Si por el contrario α0 (t0 ) = 0 = (0, 0, 0) se dice que la curva presenta un punto singular en t0 . De nición 2 (Cambio de parámetro). Un cambio de parámetro de una curva α es un difeomor smo h. h : (c, d) → (a, b) h(r) = t La curva β se llama reparametrización de α. β = α ◦ h : (c, d) −→ R3 r −→ β(r) = (α ◦ h)(r) = α(h(r)) Diremos que h conserva la orientación si h (r) > 0 y que invierte la orientación si h0 (r) < 0. 0"
2020_article_1_introducci_n_a_la_inferencia_estad_stica,"1. Introducción a la inferencia estadística DEFINICIÓN. Se denomina inferencia estadística a la disciplina que trata de determinar la me- dida de probabilidad asociada a cierta experiencia. Esta medida queda completamente determinada por la función de distribución. Cabe destacar que esto abarca todo tipo de estudios, desde la suposi- ción de que la función es de cierto tipo (por ejemplo normal) hasta el absoluto desconocimiento del tipo de función a conocer."
2020_article_atmospheric_temperature_effect_in_secondary_cosmic_rays_obse,"RESEARCH ARTICLE Atmospheric Temperature Effect in Secondary Cosmic 10.1029/2020EA001131 Rays Observed With a 2 m2 Ground‐Based tRPC Detector Key Points: • Atmospheric temperature effect Irma Riádigos1 , Damián García‐Castro2, Diego González‐Díaz2 , and isolated with timing resistive plate Vicente Pérez‐Muñuzuri1 chambers for the ﬁrst time 1 • Extraction of temperature CRETUS Institute, Group of Nonlinear Physics, Faculty of Physics, University of Santiago de Compostela, Santiago, coefﬁcients versus atmosphere Spain, 2Instituto Galego de Física de Altas Enerxías, Faculty of Physics, University of Santiago de Compostela, Santiago, depth through principal component Spain regression and comparison with theoretical expectation • Seasonal and occasional variations for the cosmic ray ﬂux observed Abstract A high time resolution 2 m2 tracking detector, based on timing Resistive Plate Chamber (tRPC) show consistency with earlier Global cells, has been installed at the Faculty of Physics of the University of Santiago de Compostela (Spain) in order Muon Detector Network results to improve our understanding of the cosmic rays arriving at the Earth's surface. Following a short commissioning of the detector, a study of the atmospheric temperature effect of the secondary cosmic ray component was carried out. To take into account this effect, temperature coefﬁcients, WT(h), were obtained Correspondence to: from cosmic ray data using a method based on Principal Component Analysis (PCA). The results obtained I. Riádigos, show good agreement with the theoretical expectation. The method successfully removes the correlation irma.riadigos@usc.es present between the different atmospheric layers, which would be dominant otherwise. We brieﬂy describe the initial calibration and pressure correction procedures, essential to isolate the temperature effect. Overall, Citation: the measured cosmic ray rate displays the expected anticorrelation with the effective atmospheric Riádigos, I., García‐Castro, D., González‐Díaz, D., & Pérez‐Muñuzuri, temperature, through the coefﬁcient αT = −0.279±0.051%/K. Rates follow the seasonal variations, and V. (2020). Atmospheric temperature unusual short‐term events are clearly identiﬁed too. effect in secondary cosmic rays observed with a 2 m2 ground‐based tRPC detector. Earth and Space Science, 7, e2020EA001131. https://doi.org/ 10.1029/2020EA001131 1. Introduction Received 10 FEB 2020 Cosmic rays (c.r.) are messengers from outer space that provide valuable information for different research Accepted 30 MAY 2020 areas, such as space weather, high‐energy physics, and cosmology (Hayashi et al., 2005; Pierre Auger Accepted article online 11 JUN 2020 Collaboration, 2015). Speciﬁcally, ground‐based instruments give us the chance to study the products of the interactions between primary cosmic rays and the nuclei in the atmosphere. These products consist of secondary particles that traverse the atmosphere carrying information about its inner structure, as in a radio- graphy, providing information about its properties. Secondary muons, in particular, are affected by atmo- spheric pressure and temperature. These induce local modiﬁcations of the atmospheric density and its depth, thereby changing the balance between particle production, absorption and decay, affecting the muon rates at the ground (Dorman, 2004). Since modern muon detectors are mostly committed to the study of solar activity and other astrophysical phenomena, such effects are regularly removed with simple techniques, as part of a calibration procedure (De Mendonça et al., 2013). Our work is concerned with a deeper comprehen- sion of such atmospheric effects. The rates of c.r. measured at the Earth's surface vary according to changes in several atmospheric conditions, chieﬂy the pressure at ground level and the temperature proﬁle of the atmosphere. The pressure (or baro- metric) effect arises mainly due to the absorption of the radiation in the atmosphere through energy loss. The more the pressure, the more air mass to traverse. Therefore, secondary c.r. particles are more efﬁciently absorbed, and, consequently, the measured rates are modulated in anticorrelation with the ground‐level pressure. In detail, the mass increase is associated with a larger height of the air column, which modiﬁes the decay probabilities of the particles involved, implying a nonnegligible (but subdominant) contribution ©2020. The Authors. This is an open access article under the to the main negative correlation (Sagisaka, 1986). terms of the Creative Commons Attribution‐NonCommercial‐NoDerivs In the absence of variations in the ground‐level pressure, the modiﬁcation of the local density of the air col- License, which permits use and distri- umn as a result of temperature variations modiﬁes c.r. rates as well. This so‐called “temperature effect” is the bution in any medium, provided the result of two contributions: the interaction (positive correlation) and decay (negative correlation) of second- original work is properly cited, the use is non‐commercial and no modiﬁca- ary particles through the atmosphere. Muons (μ+/−), which are the dominant c.r. particles at ground level, tions or adaptations are made. originate mainly from the decay of charged pions and kaons (π+/−, K+/−). Since an increase in temperature"
2020_article_direct_measurement_of_the_muonic_content_of_extensive_air_sh,"The hybrid design of the Pierre Auger Observa- sition. Experimentally, it is determined through the obser- tory allows for the measurement of the properties of exten- vation of the longitudinal shower profile, via Cherenkov or sive air showers initiated by ultra-high energy cosmic rays fluorescence detectors. Also very relevant for inference on with unprecedented precision. By using an array of proto- mass composition is the number of muons in showers. Its type underground muon detectors, we have performed the relevance can be understood on the basis of the framework first direct measurement, by the Auger Collaboration, of the of the Heitler-Matthews model of a cascade [1], where the muon content of air showers between 2 × 1017 and 2 × 1018 number of produced muons scales with energy E and mass eV. We have studied the energy evolution of the attenuation- number A as Nμ ∝ AE β /(Aξc )β . The parameter ξc is the corrected muon density, and compared it to predictions from critical energy at which charged pions are likely to decay into air shower simulations. The observed densities are found to muons rather than interact. In realistic air shower scenarios, be larger than those predicted by models. We quantify this ξc is within 20 − 30 GeV while β ≈ 0.9. Experimentally, the discrepancy by combining the measurements from the muon number of muons is determined through the measurement detector with those from the Auger fluorescence detector at of the muon lateral shower profile, performed by means of 1017.5 eV and 1018 eV. We find that, for the models to explain ground-based arrays of particle detectors. the data, an increase in the muon density of 38% ±4%(12%) The interpretation of X max and of the number of muons, 18% for EPOS- LHC, and of 50%(53%) ±4%(13%) ±20% ±21% 23% and in general of every EAS observable sensitive to mass, for QGSJetII- 04, is respectively needed. relies on the comparison of their measured values with those predicted by EAS simulations. These resort to hadronic inter- action properties at very high energies and in phase-space 1 Introduction regions not well covered by accelerator experiments. Cur- rently, the systematic uncertainties in X max and in muon- More than a hundred years after the discovery of cosmic rays number related quantities predicted by these simulations are (CRs), their origin remains unknown. Because of their low dominated by the differences between hadronic interaction intensity, CRs above ∼ 1014 eV can only be studied through models and not by detector uncertainties, even after recent the detection of the showers of particles, known as extensive updates based on LHC data of parameters governing the air showers (EASs), which they create in the atmosphere. interactions [2]. An internally consistent hadronic interaction The properties of the particles arriving at the top of the atmo- model should reproduce simultaneously the different facets sphere are therefore measured indirectly by arrays of on- of the showers captured in every observable sensitive to the ground based detectors. As the mass composition of CRs at primary mass. Therefore, any additional insight in the evo- Earth is of fundamental importance to understand their ori- lution of composition-sensitive parameters as a function of gin, the identification of observable parameters sensitive to energy provides new light on the hadronic processes at ener- the primary mass is essential. gies above those which are achievable with current particle After the first interaction of a primary cosmic ray with the accelerators."
2020_article_lectures_on_quantum_theory_chris_isham,Summary unavailable from PDF text. Topic: Lectures on quantum theory chris isham.
2020_article_the_tristan_detector_2018_2019_latitude_survey_of_cosmic_ray,"In 2018-2019 a cosmic-ray latitude survey at sea level was performed by the TRISTAN detector, an autonomous system composed by three planes of RPCs (120 × 150 cm2 ). The detector made a two-way journey on board of the Spanish vessel Sarmiento de Gamboa between Vigo (Spain) and Punta Arenas (Chile), measuring continuously the cosmic-ray rate throughout the Atlantic crossing. In this work, we present the results of the first journey, correlating the obtained variation of the cosmic-ray rate with the vertical cutoff rigidity, as well as presenting some details of the detector and its autonomous DAQ system used during the campaign."
2020_article_voxelization_based_poca_point_cloud_filtration_algorithm_for,"Multiple Coulomb Scattering (MCS) based muon tomography technique has been considered to be a well-known tool to identify, discriminate, and to image the high-density objects placed inside closed volumes. The two most famous reconstruction algorithms are Point of Closest Approach (PoCA) and Maximum Likelihood Expectation Maximization (MLEM). PoCA is fast but purely geometrical and as a result of this, it gives a lot of false positives, i.e. sometimes the PoCA point lies outside the target object and hence it forms an envelope of false-positive which results in a smeared image. On the other hand, MLEM is an iterative algorithm and is much more computation-intensive. In this work a new and innovative method is proposed which is based on the concept of voxelization to handle the known problem of false positives of the PoCA algorithm, and hence provide a clear reconstructed image. These algorithms remove the false positives PoCA points from the 3D point cloud and will give useful information in terms of regions or voxels within a voxelized volume ‘V’ to do a clear image reconstruction. The advantages of the proposed algorithm to the existing algorithms are also discussed. The status of the experimental setup of the proposed facility using Resistive Plate Chamber(RPC) with spatial resolution of ∼ 1cm as muon detector, is also discussed. The preliminary data from the current experimental setup, showing detector performance and cosmic muon tracks are also shown. Since the experimental setup is not fully ready, the effectiveness of the developed algorithms and the results are evaluated using the data from the Geant4 simulation of the muon tomography setup."
2020_article_weissbluth_atoms_molecules,Summary unavailable from PDF text. Topic: Weissbluth atoms molecules.
2020_book_lee2012_book_introductiontosmoothmanifolds,"topological spaces, not necessarily as subsets of larger spaces. It is not hard to see that there is no way to define a purely topological property that would serve as a criterion for “smoothness,” because it cannot be invariant under homeomorphisms. For example, a circle and a square in the plane are homeomor- phic topological spaces (Fig. 1.1), but we would probably all agree that the circle is “smooth,” while the square is not. Thus, topological manifolds will not suffice for our purposes. Instead, we will think of a smooth manifold as a set with two layers of structure: first a topology, then a smooth structure. In the first section of this chapter we describe the first of these structures. A topo- logical manifold is a topological space with three special properties that express the notion of being locally like Euclidean space. These properties are shared by Eu- clidean spaces and by all of the familiar geometric objects that look locally like Euclidean spaces, such as curves and surfaces. We then prove some important topo- logical properties of manifolds that we use throughout the book. In the next section we introduce an additional structure, called a smooth structure, that can be added to a topological manifold to enable us to make sense of derivatives. Following the basic definitions, we introduce a number of examples of manifolds, so you can have something concrete in mind as you read the general theory. At the end of the chapter we introduce the concept of a smooth manifold with boundary, an important generalization of smooth manifolds that will have numerous applications throughout the book, especially in our study of integration in Chapter 16."
2021_article_apuntes_de_la_asignatura,UNIVERSIDADE DE SANTIAGO DE COMPOSTELA Índice general 1. Introducción 3
2021_article_cosmic_ray_spectrum_and_composition_from_pev_to,Cosmic Ray Spectrum and Composition from PeV to EeV from the IceCube Neutrino Observatory arXiv:1908.08139v1 [astro-ph.HE] 21 Aug 2019
2021_article_development_of_crosshair_light_sharing_pet_detector_with_tof,"Objective. Time-of-ﬂight (TOF) and depth-of-interaction (DOI) are well recognized as important information to improve PET image quality. Since such information types are not correlated, many TOF-DOI detectors have been developed but there are only a few reports of high-resolution detectors (e.g. 1.5 mm resolution) for brain PET systems. Based on the DOI detector, which enables single- ended readout by optically coupling a pair of crystals and having a loop structure, we have developed the crosshair light sharing (CLS) PET detector that optically couples the four-loop structure, consisting of quadrisected crystals comparable in size to a photo-sensor, to four photo-sensors in close proximity arranged in a windmill shape. Even as a high-resolution detector, the CLS PET detector could obtain both TOF and DOI information. The coincidence resolving time (CRT) of the CLS PET detector needs to be further improved, however, for application to the brain PET system. Recently, a fast LGSO crystal was developed which has advantages in detection efﬁciency and CRT compared to the GFAG crystal. In this work, we developed the CLS PET detector using the fast LGSO crystal for the TOF-DOI brain PET system. Approach. The crystals were each 1.45×1.45×15 mm3 and all surfaces were chemically etched. The CLS PET detector consisted of a 14×14 crystal array optically coupled to an 8×8 MPPC array. Main results. The fast LGSO array provided 10.1% energy resolution at 511 keV, 4.7 mm DOI resolution at 662 keV, and 293 ps CRT with the energy window of 440–620 keV. Signiﬁcance. The developed CLS PET detector has 290% higher coincidence sensitivity, 30% better energy resolution, and 32% better time resolution compared to our previous CLS PET detector."
